,model,split,f2_score,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,num_epochs
33,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,True,0.1,0.0001,32,10
34,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.1,0.0001,32,10
35,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.1,0.0001,32,20
36,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.1,0.0001,32,20
37,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,True,0.1,0.0001,32,20
38,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.1,0.0001,32,20
39,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8352849336455894,32,2,True,0.1,0.0001,32,20
40,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,True,0.1,0.001,32,10
41,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,True,0.1,0.001,32,10
42,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.1,0.001,32,10
43,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,3,0.8333333333333334,32,2,True,0.1,0.001,32,10
44,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.1,0.001,32,10
45,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.1,0.001,32,20
46,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.1,0.001,32,20
47,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,2,0.8373015873015873,32,2,True,0.1,0.001,32,20
48,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.1,0.001,32,20
49,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,True,0.1,0.001,32,20
