,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
117,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_256/,2,0.8333333333333334,5,manhattan,0.2,256
118,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_256/,3,0.8333333333333334,5,manhattan,0.2,256
119,n_neighbors_5_metric_manhattan_contamination_0.2_encoding_dim_256/,4,0.8333333333333334,5,manhattan,0.2,256
120,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,10,euclidean,0.01,64
121,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,10,euclidean,0.01,64
122,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_64/,2,0.8550488599348535,10,euclidean,0.01,64
123,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,10,euclidean,0.01,64
124,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,10,euclidean,0.01,64
125,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,10,euclidean,0.01,128
126,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,10,euclidean,0.01,128
127,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_128/,2,0.8471892319873318,10,euclidean,0.01,128
128,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,10,euclidean,0.01,128
129,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,10,euclidean,0.01,128
130,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,10,euclidean,0.01,256
131,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,10,euclidean,0.01,256
132,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_256/,2,0.8433734939759037,10,euclidean,0.01,256
