,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
82,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_relu/",2,0.8567980691874497,0.0001,32,10,256,"[1024, 512]",relu
83,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_relu/",3,0.8594377510040161,0.0001,32,10,256,"[1024, 512]",relu
84,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_relu/",4,0.8458498023715415,0.0001,32,10,256,"[1024, 512]",relu
85,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_leaky_relu/",0,0.8602584814216478,0.0001,32,10,256,"[1024, 512]",leaky_relu
86,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_leaky_relu/",1,0.8492822966507177,0.0001,32,10,256,"[1024, 512]",leaky_relu
87,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_leaky_relu/",2,0.8567980691874497,0.0001,32,10,256,"[1024, 512]",leaky_relu
88,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_leaky_relu/",3,0.857487922705314,0.0001,32,10,256,"[1024, 512]",leaky_relu
89,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[1024, 512]_activation_leaky_relu/",4,0.8465189873417721,0.0001,32,10,256,"[1024, 512]",leaky_relu
90,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_relu/",0,0.8581788879935536,0.0001,32,10,256,"[2048, 1024, 512]",relu
91,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_relu/",1,0.8512330946698489,0.0001,32,10,256,"[2048, 1024, 512]",relu
92,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_relu/",2,0.8588709677419355,0.0001,32,10,256,"[2048, 1024, 512]",relu
93,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_relu/",3,0.8581788879935536,0.0001,32,10,256,"[2048, 1024, 512]",relu
94,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_relu/",4,0.8438485804416404,0.0001,32,10,256,"[2048, 1024, 512]",relu
95,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",0,0.8602584814216478,0.0001,32,10,256,"[2048, 1024, 512]",leaky_relu
96,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",1,0.8478605388272583,0.0001,32,10,256,"[2048, 1024, 512]",leaky_relu
97,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",2,0.8567980691874497,0.0001,32,10,256,"[2048, 1024, 512]",leaky_relu
98,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",3,0.856,0.0001,32,10,256,"[2048, 1024, 512]",leaky_relu
99,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_256_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",4,0.8471892319873318,0.0001,32,10,256,"[2048, 1024, 512]",leaky_relu
100,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_relu/,0,0.8333333333333334,0.0001,32,20,128,[],relu
101,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_relu/,1,0.8616504854368932,0.0001,32,20,128,[],relu
102,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_relu/,2,0.847808105872622,0.0001,32,20,128,[],relu
103,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_relu/,3,0.8563074352548037,0.0001,32,20,128,[],relu
104,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_relu/,4,0.8535598705501618,0.0001,32,20,128,[],relu
105,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,0,0.8478802992518704,0.0001,32,20,128,[],leaky_relu
106,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,1,0.8581788879935536,0.0001,32,20,128,[],leaky_relu
107,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,2,0.8498349834983498,0.0001,32,20,128,[],leaky_relu
108,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,3,0.859375,0.0001,32,20,128,[],leaky_relu
109,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,4,0.8465189873417721,0.0001,32,20,128,[],leaky_relu
110,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_relu/,0,0.8561928512053201,0.0001,32,20,128,[1024],relu
111,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_relu/,1,0.8523654159869495,0.0001,32,20,128,[1024],relu
112,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_relu/,2,0.8497536945812808,0.0001,32,20,128,[1024],relu
113,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_relu/,3,0.8661740558292282,0.0001,32,20,128,[1024],relu
114,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_relu/,4,0.8532695374800638,0.0001,32,20,128,[1024],relu
115,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,0,0.8527454242928453,0.0001,32,20,128,[1024],leaky_relu
116,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,1,0.8588709677419355,0.0001,32,20,128,[1024],leaky_relu
117,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,2,0.8530612244897959,0.0001,32,20,128,[1024],leaky_relu
118,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,3,0.8654634946677605,0.0001,32,20,128,[1024],leaky_relu
119,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,4,0.8526821457165733,0.0001,32,20,128,[1024],leaky_relu
120,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_relu/,0,0.8567980691874497,0.0001,32,20,128,[512],relu
