,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
155,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,0,0.8326216908625107,50,1.0,0.1,128
156,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,1,0.870626525630594,50,1.0,0.1,128
157,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,2,0.8522727272727273,50,1.0,0.1,128
158,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,3,0.8229537366548043,50,1.0,0.1,128
159,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,4,0.8538587848932676,50,1.0,0.1,128
160,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.1,256
161,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,1,0.8333333333333334,50,1.0,0.1,256
162,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,2,0.8478605388272583,50,1.0,0.1,256
163,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,3,0.8587140439932318,50,1.0,0.1,256
164,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,4,0.8333333333333334,50,1.0,0.1,256
165,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,0,0.8493723849372385,50,1.0,0.2,64
166,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,1,0.8597662771285476,50,1.0,0.2,64
167,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,2,0.8455882352941176,50,1.0,0.2,64
168,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,3,0.8686616791354946,50,1.0,0.2,64
169,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,4,0.8176369863013698,50,1.0,0.2,64
170,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,0,0.8534621578099839,50,1.0,0.2,128
171,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,1,0.8165938864628821,50,1.0,0.2,128
172,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,2,0.8576051779935275,50,1.0,0.2,128
173,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,3,0.8574979287489644,50,1.0,0.2,128
174,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,4,0.8275862068965517,50,1.0,0.2,128
175,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.2,256
176,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,1,0.84251968503937,50,1.0,0.2,256
177,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,2,0.8500400962309543,50,1.0,0.2,256
178,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,3,0.8582995951417004,50,1.0,0.2,256
179,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,4,0.8428805237315876,50,1.0,0.2,256
180,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,0,0.835464620630861,100,0.5,0.01,64
181,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,100,0.5,0.01,64
182,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,2,0.8540497193263833,100,0.5,0.01,64
183,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,100,0.5,0.01,64
184,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,100,0.5,0.01,64
185,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,0,0.8539505187549881,100,0.5,0.01,128
186,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,1,0.8521809369951535,100,0.5,0.01,128
187,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,2,0.8528428093645485,100,0.5,0.01,128
188,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,100,0.5,0.01,128
189,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,4,0.8268398268398268,100,0.5,0.01,128
190,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,100,0.5,0.01,256
191,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,1,0.8520900321543409,100,0.5,0.01,256
192,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,2,0.8423236514522822,100,0.5,0.01,256
193,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,3,0.8504273504273504,100,0.5,0.01,256
194,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,4,0.8290155440414507,100,0.5,0.01,256
195,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,100,0.5,0.05,64
196,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,100,0.5,0.05,64
197,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,100,0.5,0.05,64
