,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
91,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_32/,1,0.8326817826426895,0.0001,10,10,[32],relu,32
92,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_32/,2,0.8326817826426895,0.0001,10,10,[32],relu,32
93,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_32/,3,0.8326817826426895,0.0001,10,10,[32],relu,32
94,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_32/,4,0.8339828526890102,0.0001,10,10,[32],relu,32
95,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_64/,0,0.8339828526890102,0.0001,10,10,[32],relu,64
96,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_64/,1,0.8326817826426895,0.0001,10,10,[32],relu,64
97,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_64/,2,0.8326817826426895,0.0001,10,10,[32],relu,64
98,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_64/,3,0.8326817826426895,0.0001,10,10,[32],relu,64
99,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_64/,4,0.8339828526890102,0.0001,10,10,[32],relu,64
100,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_128/,0,0.8339828526890102,0.0001,10,10,[32],relu,128
101,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_128/,1,0.8326817826426895,0.0001,10,10,[32],relu,128
102,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_128/,2,0.8326817826426895,0.0001,10,10,[32],relu,128
103,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_128/,3,0.8326817826426895,0.0001,10,10,[32],relu,128
104,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_relu_fc1_size_128/,4,0.8339828526890102,0.0001,10,10,[32],relu,128
105,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_32/,0,0.8339828526890102,0.0001,10,10,[32],leaky_relu,32
106,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_32/,1,0.8326817826426895,0.0001,10,10,[32],leaky_relu,32
107,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_32/,2,0.8326817826426895,0.0001,10,10,[32],leaky_relu,32
108,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_32/,3,0.8326817826426895,0.0001,10,10,[32],leaky_relu,32
109,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_32/,4,0.8663793103448276,0.0001,10,10,[32],leaky_relu,32
110,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_64/,0,0.8339828526890102,0.0001,10,10,[32],leaky_relu,64
111,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_64/,1,0.8582408198121264,0.0001,10,10,[32],leaky_relu,64
112,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_64/,2,0.8326817826426895,0.0001,10,10,[32],leaky_relu,64
113,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_64/,3,0.8326817826426895,0.0001,10,10,[32],leaky_relu,64
114,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_64/,4,0.8339828526890102,0.0001,10,10,[32],leaky_relu,64
115,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_128/,0,0.8339828526890102,0.0001,10,10,[32],leaky_relu,128
116,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_128/,1,0.8326817826426895,0.0001,10,10,[32],leaky_relu,128
117,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_128/,2,0.8326817826426895,0.0001,10,10,[32],leaky_relu,128
118,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_128/,3,0.8326817826426895,0.0001,10,10,[32],leaky_relu,128
119,lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32]_activation_leaky_relu_fc1_size_128/,4,0.8771929824561403,0.0001,10,10,[32],leaky_relu,128
120,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,32
121,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,32
122,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,32
123,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,32
124,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,32
125,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,64
126,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,64
127,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,64
128,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,64
129,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,64
130,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_128/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,128
131,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,128
132,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,10,"[32, 64]",relu,128
133,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_128/",3,0.8412322274881516,0.0001,10,10,"[32, 64]",relu,128
134,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,10,10,"[32, 64]",relu,128
