,model,split,f2_score,kernel,nu,gamma,encoding_dim
135,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_64/,0,0.8333333333333334,rbf,0.01,auto,64
136,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_64/,1,0.8333333333333334,rbf,0.01,auto,64
137,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_64/,2,0.8333333333333334,rbf,0.01,auto,64
138,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_64/,3,0.8333333333333334,rbf,0.01,auto,64
139,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_64/,4,0.8333333333333334,rbf,0.01,auto,64
140,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_128/,0,0.8333333333333334,rbf,0.01,auto,128
141,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_128/,1,0.8333333333333334,rbf,0.01,auto,128
142,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_128/,2,0.8333333333333334,rbf,0.01,auto,128
143,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_128/,3,0.8333333333333334,rbf,0.01,auto,128
144,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_128/,4,0.8346394984326019,rbf,0.01,auto,128
145,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_256/,0,0.8333333333333334,rbf,0.01,auto,256
146,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_256/,1,0.8333333333333334,rbf,0.01,auto,256
147,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_256/,2,0.8333333333333334,rbf,0.01,auto,256
148,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_256/,3,0.8333333333333334,rbf,0.01,auto,256
149,kernel_rbf_nu_0.01_gamma_auto_encoding_dim_256/,4,0.8339859044635866,rbf,0.01,auto,256
150,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_64/,0,0.8614864864864865,rbf,0.05,scale,64
151,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_64/,1,0.8594377510040161,rbf,0.05,scale,64
152,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_64/,2,0.8751027115858668,rbf,0.05,scale,64
153,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_64/,3,0.8333333333333334,rbf,0.05,scale,64
154,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_64/,4,0.8333333333333334,rbf,0.05,scale,64
155,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_128/,0,0.8787128712871287,rbf,0.05,scale,128
156,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_128/,1,0.874384236453202,rbf,0.05,scale,128
