,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
136,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,1,0.858085808580858,50,1.0,0.05,64
137,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,50,1.0,0.05,64
138,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,3,0.8478605388272583,50,1.0,0.05,64
139,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_64/,4,0.8533554266777134,50,1.0,0.05,64
140,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,0,0.8478605388272583,50,1.0,0.05,128
141,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,1,0.8553191489361702,50,1.0,0.05,128
142,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,2,0.8333333333333334,50,1.0,0.05,128
143,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,3,0.8715220949263502,50,1.0,0.05,128
144,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_128/,4,0.8465387823185988,50,1.0,0.05,128
145,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.05,256
146,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,1,0.8518518518518519,50,1.0,0.05,256
147,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,2,0.8459696727853152,50,1.0,0.05,256
148,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,3,0.8333333333333334,50,1.0,0.05,256
149,n_estimators_50_max_samples_1.0_contamination_0.05_encoding_dim_256/,4,0.8333333333333334,50,1.0,0.05,256
150,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,0,0.8333333333333334,50,1.0,0.1,64
151,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,1,0.8708094848732625,50,1.0,0.1,64
152,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,2,0.8471892319873318,50,1.0,0.1,64
153,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,3,0.8685064935064936,50,1.0,0.1,64
154,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_64/,4,0.7989690721649485,50,1.0,0.1,64
155,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,0,0.8598207008964955,50,1.0,0.1,128
156,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,1,0.8553191489361702,50,1.0,0.1,128
157,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,50,1.0,0.1,128
158,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,3,0.8333333333333334,50,1.0,0.1,128
159,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_128/,4,0.8544562551103843,50,1.0,0.1,128
160,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.1,256
161,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,1,0.8511513157894737,50,1.0,0.1,256
162,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,2,0.8459696727853152,50,1.0,0.1,256
163,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,3,0.8333333333333334,50,1.0,0.1,256
164,n_estimators_50_max_samples_1.0_contamination_0.1_encoding_dim_256/,4,0.8333333333333334,50,1.0,0.1,256
165,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,0,0.874384236453202,50,1.0,0.2,64
166,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,1,0.8615136876006442,50,1.0,0.2,64
167,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,2,0.8242220353238016,50,1.0,0.2,64
168,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,3,0.8860759493670886,50,1.0,0.2,64
169,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_64/,4,0.8540630182421227,50,1.0,0.2,64
170,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,0,0.8686616791354946,50,1.0,0.2,128
171,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,1,0.8544839255499154,50,1.0,0.2,128
172,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,2,0.8636363636363636,50,1.0,0.2,128
173,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,3,0.8772652388797364,50,1.0,0.2,128
174,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_128/,4,0.8444816053511706,50,1.0,0.2,128
175,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,0,0.8333333333333334,50,1.0,0.2,256
176,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,1,0.8149405772495756,50,1.0,0.2,256
177,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,2,0.8387888707037643,50,1.0,0.2,256
178,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,3,0.8567980691874497,50,1.0,0.2,256
179,n_estimators_50_max_samples_1.0_contamination_0.2_encoding_dim_256/,4,0.8513189448441247,50,1.0,0.2,256
180,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,100,0.5,0.01,64
181,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,100,0.5,0.01,64
182,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,2,0.8741830065359477,100,0.5,0.01,64
183,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,100,0.5,0.01,64
184,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,100,0.5,0.01,64
185,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,0,0.8587479935794543,100,0.5,0.01,128
186,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,100,0.5,0.01,128
187,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,2,0.8539505187549881,100,0.5,0.01,128
188,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,3,0.872093023255814,100,0.5,0.01,128
189,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_128/,4,0.8253692441355344,100,0.5,0.01,128
190,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,0,0.8554216867469879,100,0.5,0.01,256
191,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,1,0.8304940374787053,100,0.5,0.01,256
192,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,2,0.847255369928401,100,0.5,0.01,256
193,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,3,0.8570234113712375,100,0.5,0.01,256
194,n_estimators_100_max_samples_0.5_contamination_0.01_encoding_dim_256/,4,0.8552631578947368,100,0.5,0.01,256
195,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,100,0.5,0.05,64
196,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,100,0.5,0.05,64
197,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,100,0.5,0.05,64
198,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,3,0.8842975206611571,100,0.5,0.05,64
199,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,4,0.8333333333333334,100,0.5,0.05,64
200,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,0,0.8665581773799838,100,0.5,0.05,128
201,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,100,0.5,0.05,128
202,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,2,0.8451816745655608,100,0.5,0.05,128
203,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,3,0.8347978910369068,100,0.5,0.05,128
204,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,4,0.8632193494578816,100,0.5,0.05,128
205,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,0,0.8533653846153846,100,0.5,0.05,256
206,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,1,0.8240343347639485,100,0.5,0.05,256
207,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,2,0.8492822966507177,100,0.5,0.05,256
208,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,3,0.8596345514950167,100,0.5,0.05,256
209,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,4,0.8503679476696647,100,0.5,0.05,256
210,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,0,0.8123370981754996,100,0.5,0.1,64
211,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,1,0.8649959579628133,100,0.5,0.1,64
212,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,2,0.8523206751054853,100,0.5,0.1,64
213,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,3,0.8842975206611571,100,0.5,0.1,64
214,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,4,0.8580593424218124,100,0.5,0.1,64
215,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,0,0.8682885906040269,100,0.5,0.1,128
216,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,1,0.864448051948052,100,0.5,0.1,128
217,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,100,0.5,0.1,128
218,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,3,0.875,100,0.5,0.1,128
219,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,4,0.8632193494578816,100,0.5,0.1,128
220,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,0,0.8613617719442166,100,0.5,0.1,256
221,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,1,0.820446735395189,100,0.5,0.1,256
222,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,2,0.848605577689243,100,0.5,0.1,256
223,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,3,0.8614864864864865,100,0.5,0.1,256
224,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,4,0.8552631578947368,100,0.5,0.1,256
225,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,0,0.8615136876006442,100,0.5,0.2,64
